area_code,area_name,quarter,food_sales,nonfood_sales,food_transactions,nonfood_transactions,floating_population,quarter_index,food_sales_yoy_log_change,nonfood_sales_yoy_log_change,floating_population_yoy_log_change,food_sales_yoy_log_change_lag1,quarter_label,lag1_association_component
3110091,리움미술관,20211,1034642353.0,149935219.0,30092.0,536.0,145945.0,8085,,,,,2021Q1,
3110091,리움미술관,20212,1461176428.0,146129192.0,41664.0,683.0,157505.0,8086,,,,,2021Q2,
3110091,리움미술관,20213,875769636.0,158041037.0,24579.0,638.0,178279.0,8087,,,,,2021Q3,
3110091,리움미술관,20214,1898324590.0,116743389.0,70863.0,681.0,203218.0,8088,,,,,2021Q4,
3110091,리움미술관,20221,1808660741.0,170012727.0,63676.0,844.0,191947.0,8089,0.5585308349575724,0.1256699714751465,0.27398945384894624,,2022Q1,
3110091,리움미술관,20222,2597386176.0,80708317.0,94374.0,459.0,212534.0,8090,0.5752637385718437,-0.5936494764638454,0.2996447717722975,0.5585308349575724,2022Q2,0.022590940177768824
3110091,리움미술관,20223,2092015005.0,113781989.0,68982.0,577.0,197999.0,8091,0.8707799139709386,-0.3285704868780364,0.1049122412682467,0.5752637385718437,2022Q3,0.02326773723334963
3110091,리움미술관,20224,1819004188.0,16608352.0,55118.0,53.0,197642.0,8092,-0.04268250052860145,-1.9500725683141844,-0.02782198112290365,0.8707799139709386,2022Q4,0.03522050299338349
3110091,리움미술관,20231,1953394808.0,7406647.0,61924.0,82.0,202113.0,8093,0.07698213679712052,-3.1334954586795996,0.051607654678022495,-0.04268250052860145,2023Q1,-0.0017263824228298298
3110091,리움미술관,20232,2067735689.0,23095989.0,67512.0,163.0,204085.0,8094,-0.22805148391788904,-1.2511826645966506,-0.040565401836404065,0.07698213679712052,2023Q2,0.0031137024821067806
3110091,리움미술관,20233,1850495427.0,157366426.0,63764.0,1358.0,219334.0,8095,-0.12267431712206861,0.3242927692723638,0.10233370198953504,-0.22805148391788904,2023Q3,-0.009224016129802025
3110091,리움미술관,20234,1772222605.0,245267156.0,54071.0,1904.0,231285.0,8096,-0.02605473401519929,2.692442347744055,0.15719340295605078,-0.12267431712206861,2023Q4,-0.0049618176580417655
3110091,리움미술관,20241,1726827600.0,274952458.0,53213.0,2358.0,221017.0,8097,-0.12328281820473913,3.6142203624467792,0.08941267470362396,-0.02605473401519929,2024Q1,-0.001053837855755551
3110091,리움미술관,20242,1772821641.0,160195565.0,57931.0,1817.0,236164.0,8098,-0.15388171377737866,1.936736384018654,0.145989905208611,-0.12328281820473913,2024Q2,-0.004986429748720271
3110091,리움미술관,20243,1481039291.0,299380434.0,47433.0,1888.0,237320.0,8099,-0.22270933663601503,0.643138109602718,0.07881375922417658,-0.15388171377737866,2024Q3,-0.006224065660871487
3110091,리움미술관,20244,1571515575.0,263541149.0,45886.0,1633.0,247911.0,8100,-0.12019397976255895,0.07186146986913132,0.06941909449621848,-0.22270933663601503,2024Q4,-0.00900794188266612
3110091,리움미술관,20251,1362399336.0,242949053.0,41692.0,1563.0,253011.0,8101,-0.23703860490220213,-0.1237464397981694,0.13519334440698985,-0.12019397976255895,2025Q1,-0.004861495259702515
3110091,리움미술관,20252,1386123749.0,280311772.0,41041.0,1759.0,238561.0,8102,-0.2460612429642709,0.5595071050420667,0.01009856388717106,-0.23703860490220213,2025Q2,-0.00958751891213706
3110091,리움미술관,20253,1141365271.0,745100091.0,31908.0,2164.0,252110.0,8103,-0.2605189129924444,0.9118034405422568,0.060456058815614354,-0.2460612429642709,2025Q3,-0.009952458256482014
3110091,리움미술관,20254,945501204.0,263698794.0,29064.0,1649.0,234294.0,8104,-0.5080806056036311,0.000598000992872101,-0.05649307379641192,-0.2605189129924444,2025Q4,-0.010537228762019455
